"SR.
NO.",Town,Revenue Circle,Property Area,Classification,Location,Square No,Killa No,Khasra No,DC Rate,Unit,Structure Rate
"162
1",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,6,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"162
2",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,60,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"162
3",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,61,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"162
4",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,62,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"162
5",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,63,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"162
6",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,64,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"162
7",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,65,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"162
8",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,66,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"162
9",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,67,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"163
0",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,68,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"163
1",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,69,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"163
2",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,7,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"163
3",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,70,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"163
4",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,71,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"163
5",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,72,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"163
6",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,73,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"163
7",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,74,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"163
8",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,75,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"163
9",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,76,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"164
0",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,77,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"164
1",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,78,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"164
2",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,79,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"164
3",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,8,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"164
4",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,80,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"164
5",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,81,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"164
6",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,82,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"164
7",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,83,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"164
8",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,84,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"164
9",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,85,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"165
0",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,86,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"165
1",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,87,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"165
2",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,88,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"165
3",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,89,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"165
4",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,90,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"165
5",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,91,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"165
6",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,92,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"165
7",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,93,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"165
8",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,94,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"165
9",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,95,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"166
0",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,96,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"166
1",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,97,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"166
2",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,98,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"166
3",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Agricultural,Off Road,99,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,4821144,Acre,866
"166
4",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Commercial,Off Road,31,22.23,,288998,Marla,1772
"166
5",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,1,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"166
6",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,100,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"166
7",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,101,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"166
8",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,102,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"166
9",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,103,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"167
0",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,104,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"167
1",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,105,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"167
2",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,106,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"167
3",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,107,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"167
4",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,108,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"167
5",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,109,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"167
6",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,11,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"167
7",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,110,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"167
8",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,111,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"167
9",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,112,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"168
0",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,113,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"168
1",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,114,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"168
2",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,115,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"168
3",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,116,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"168
4",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,117,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"168
5",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,118,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"168
6",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,119,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"168
7",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,12,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"168
8",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,120,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"168
9",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,121,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"169
0",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,122,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"169
1",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,123,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"169
2",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,124,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"169
3",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,125,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"169
4",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,126,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"169
5",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,127,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"169
6",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,128,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"169
7",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,129,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"169
8",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,130,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"169
9",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,131,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"170
0",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,132,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"170
1",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,133,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"170
2",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,134,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"170
3",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,135,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"170
4",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,136,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"170
5",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,137,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"170
6",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,138,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"170
7",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,139,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"170
8",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,140,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"170
9",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,141,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"171
0",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,142,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"171
1",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,143,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"171
2",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,144,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"171
3",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,145,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"171
4",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,146,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"171
5",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,147,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"171
6",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,148,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"171
7",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,149,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"171
8",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,15,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"171
9",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,150,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"172
0",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,151,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"172
1",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,152,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"172
2",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,153,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"172
3",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,154,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"172
4",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,155,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"172
5",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,156,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"172
6",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,157,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"172
7",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,158,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"172
8",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,159,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"172
9",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,16,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"173
0",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,160,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"173
1",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,161,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"173
2",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,162,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"173
3",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,163,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"173
4",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,164,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"173
5",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,165,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"173
6",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,166,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"173
7",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,167,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"173
8",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,168,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"173
9",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,169,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"174
0",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,17,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"174
1",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,170,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"174
2",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,171,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
"174
3",Depalpur,Depal Pur- II,Meer Aman Ullah (Off Road),Residential,Off Road,172,"1,10,11,12,13,14,15,1
6,17,18,19,2,20,21,22
,23,24,25,3,4,5,6,7,8,
9",,212698,Marla,866
